,Unnamed: 0,event_date,event_type,country,admin1,actor1,actor2,assoc_actor_1,assoc_actor_2
373,75341,20 September 2020,Explosions/Remote violence,Mali,Tombouctou,JNIM: Group for Support of Islam and Muslims and/or Islamic State (Greater Sahara),Military Forces of Mali (2020-),,
376,75916,19 September 2020,Battles,Mali,Gao,JNIM: Group for Support of Islam and Muslims and/or Islamic State (Greater Sahara),Military Forces of Mali (2020-),,
377,75919,19 September 2020,Battles,Mali,Gao,Islamic State (Greater Sahara),JNIM: Group for Support of Islam and Muslims,,
380,77458,17 September 2020,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Dan Na Ambassagou,,
381,77462,17 September 2020,Battles,Mali,Sikasso,JNIM: Group for Support of Islam and Muslims,Police Forces of Mali (2020-) Gendarmerie,,
382,77545,16 September 2020,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Dan Na Ambassagou,,
384,78120,16 September 2020,Battles,Mali,Segou,Military Forces of Mali (2020-),JNIM: Group for Support of Islam and Muslims,,
386,78665,15 September 2020,Battles,Mali,Mopti,Islamic State (Greater Sahara),JNIM: Group for Support of Islam and Muslims,,
392,80686,12 September 2020,Battles,Mali,Mopti,Unidentified Armed Group (Mali),JNIM: Group for Support of Islam and Muslims,,
393,80772,12 September 2020,Battles,Mali,Menaka,Islamic State (Greater Sahara),Military Forces of France (2017-),,
395,80968,11 September 2020,Explosions/Remote violence,Mali,Sikasso,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),,Health Workers (Mali)
397,81552,10 September 2020,Battles,Mali,Mopti,Military Forces of France (2017-),Ansaroul Islam,,JNIM: Group for Support of Islam and Muslims
400,81667,10 September 2020,Battles,Mali,Sikasso,JNIM: Group for Support of Islam and Muslims,Forest Guards (Mali),,
401,81772,10 September 2020,Battles,Mali,Menaka,Islamic State (Greater Sahara),GATIA: Imghad Tuareg and Allies Self-Defense Group,,
403,82372,09 September 2020,Battles,Mali,Segou,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2020-),,
404,82375,09 September 2020,Explosions/Remote violence,Mali,Tombouctou,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2020-),,Civilians (Mali)
407,82387,09 September 2020,Explosions/Remote violence,Mali,Menaka,Military Forces of France (2017-),Islamic State (Greater Sahara),,
411,83037,08 September 2020,Battles,Mali,Tombouctou,Tuareg Ethnic Militia (Mali),Tuareg Ethnic Militia (Mali),,
416,83775,07 September 2020,Explosions/Remote violence,Mali,Gao,Unidentified Armed Group (Mali),Civilians (Mali),,
420,84678,06 September 2020,Battles,Mali,Menaka,Islamic State (Greater Sahara),MAA: Arab Movement of the Azawad (CMA),,
424,85349,05 September 2020,Explosions/Remote violence,Mali,Kidal,JNIM: Group for Support of Islam and Muslims,Military Forces of France (2017-),,
430,86235,04 September 2020,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Police Forces of Mali (2020-) Gendarmerie,,
433,86580,03 September 2020,Battles,Mali,Koulikoro,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2020-),,
434,86918,02 September 2020,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Dogon Ethnic Militia (Mali),,Farmers (Mali)
435,87497,01 September 2020,Battles,Mali,Gao,Unidentified Armed Group (Mali),Military Forces of Mali (2020-),,
436,87514,01 September 2020,Battles,Mali,Mopti,Islamic State (Greater Sahara),JNIM: Group for Support of Islam and Muslims,,
438,87596,01 September 2020,Battles,Mali,Mopti,Unidentified Armed Group (Mali),Dan Na Ambassagou,,
444,88242,31 August 2020,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Dogon Ethnic Militia (Mali),,Farmers (Mali)
445,88393,31 August 2020,Explosions/Remote violence,Mali,Kidal,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2020-),,
447,88651,31 August 2020,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Dogon Ethnic Militia (Mali),,Farmers (Mali)
448,88770,30 August 2020,Battles,Mali,Tombouctou,Unidentified Armed Group (Mali),Military Forces of Mali (2020-),,Police Forces of Mali (2020-) Gendarmerie
449,88782,30 August 2020,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Dogon Ethnic Militia (Mali),,Farmers (Mali)
452,90560,27 August 2020,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),,
453,91068,26 August 2020,Battles,Mali,Mopti,G5S: G5 Sahel Force (2017-),JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2020-),
